opportunity_rank,borough_name,property_count,avg_price,median_price,avg_price_per_sqft,avg_price_growth,avg_demand_score,avg_mobility_score,avg_climate_risk_score,avg_property_quality,avg_daysOnZillow,total_tourViewCount,total_num_of_applications,avg_bedrooms,avg_bathrooms,avg_livingArea,opportunity_score
1.0,Pontiac,1,95200.0,95200.0,,14237.349397590362,18.019777969389956,62.333333333333336,25.0,39.64,5187.0,0.0,0.0,3.0,2.0,1596.0,50.93222630673965
2.0,Windsor,1,717900.0,717900.0,,35.45283018867924,20.513580513041603,79.0,25.0,73.63,3336.0,0.0,0.0,3.0,4.0,2226.0,42.11493208709301
3.0,Newton Highlands,1,1270000.0,1270000.0,,0.0,24.902996335417114,82.66666666666667,25.0,52.769999999999996,78.0,0.0,0.0,1.0,2.0,1272.0,42.02103996373525
4.0,Medina,1,461200.0,461200.0,,28.111111111111107,22.426708342315155,73.33333333333333,25.0,73.825,1916.0,0.0,0.0,4.0,3.0,3617.0,41.95081924761207
5.0,Miami Beach,1,1999500.0,1999500.0,,58.06324110671937,22.631493856434577,74.66666666666667,25.0,70.94,1764.0,0.0,0.0,3.0,3.0,2640.0,41.91985973493007
6.0,Chevy Chase,1,2323100.0,2323100.0,,13.321951219512195,20.71701875404182,84.66666666666667,25.0,64.39,3185.0,0.0,0.0,2.0,3.0,2780.0,41.875433960124646
7.0,Hayward,1,866100.0,866100.0,,12.700065061808719,22.405151972407847,69.5,25.0,78.045,1932.0,0.0,0.0,4.0,3.5,1909.0,41.667109661529906
8.0,Springfield,1,803300.0,803300.0,,301.65000000000003,23.142110368613924,63.0,25.0,80.465,1385.0,0.0,0.0,4.0,2.5,3078.0,41.258777961051024
9.0,Johns Creek,1,785000.0,785000.0,,0.0,24.768269023496444,52.0,25.0,88.47000000000001,178.0,0.0,0.0,5.0,3.0,4646.0,40.47138952752737
10.0,Norfolk,1,275000.0,275000.0,,0.0,24.32501616727743,66.66666666666667,25.0,67.98,507.0,0.0,0.0,3.0,3.0,2498.0,39.93780467529861
11.0,Blair,1,338900.0,338900.0,,7.587301587301587,23.37923043759431,72.66666666666667,25.0,62.2,1209.0,0.0,0.0,6.0,3.0,2442.0,39.69824669691869
12.0,Burbank,1,360000.0,360000.0,,0.0,24.409894373787456,73.33333333333333,25.0,56.99,444.0,0.0,0.0,5.0,3.0,0.0,39.537469691589685
13.0,Appleton,1,629300.0,629300.0,,22.194174757281555,23.146152187971545,54.0,25.0,85.75,1382.0,0.0,0.0,4.0,6.0,5477.0,39.09126685900708
14.0,North Las Vegas,1,490400.0,490400.0,,113.21739130434783,19.869583962060787,57.0,25.0,92.05,3814.0,0.0,0.0,5.0,5.0,3410.0,38.91092555772851
15.0,Boulder,1,1016000.0,1016000.0,,0.0,24.345225264065533,78.33333333333333,25.0,47.544999999999995,492.0,0.0,0.0,3.0,2.0,1577.0,38.832511750089125
16.0,Carson City,1,425700.0,425700.0,,174.71782858691654,21.25188618236689,80.33333333333333,25.0,53.97,2788.0,0.0,0.0,4.0,2.0,1512.0,38.65861489137168
17.0,La Follette,1,726700.0,726700.0,,0.0,24.664528993317525,50.0,25.0,83.06,255.0,0.0,0.0,5.0,4.0,2912.0,38.40436758657666
18.0,Truckee,1,1007600.0,1007600.0,,25.167701863354036,22.39033196809657,68.33333333333333,25.0,64.63,1943.0,0.0,0.0,3.0,2.5,1761.0,38.02655122624615
19.0,Colorado Springs,1,415600.0,415600.0,,73.16666666666667,20.640224186247035,60.0,25.0,80.97000000000001,3242.0,0.0,0.0,5.0,3.0,2896.0,37.807948800527626
20.0,Camarillo,1,746200.0,746200.0,,35.18115942028985,21.144104332830352,82.66666666666667,25.0,47.599999999999994,2868.0,0.0,0.0,2.0,2.0,1488.0,37.54100499257069
21.0,Hanna City,1,334300.0,334300.0,,33.18725099601594,22.380901056262125,54.333333333333336,25.0,81.21000000000001,1950.0,0.0,0.0,4.0,3.0,3094.0,37.44723756238209
22.0,Golden,1,1450400.0,1450400.0,,16.032,22.681342961845225,48.0,25.0,88.005,1727.0,0.0,0.0,6.0,4.0,3851.0,37.24341176292305
23.0,Scottsdale,1,2200000.0,2200000.0,,0.0,23.66350506574693,42.666666666666664,25.0,91.175,998.0,0.0,0.0,5.0,6.0,4585.0,37.08488534336134
24.0,Murfreesboro,1,654000.0,654000.0,,0.0,23.870985126104763,51.333333333333336,25.0,78.26,844.0,0.0,0.0,3.0,3.0,2854.0,36.98315909705054
25.0,Oshkosh,1,451300.0,451300.0,,52.983050847457626,22.312190127182582,49.0,25.0,85.99000000000001,2001.0,0.0,0.0,4.0,3.0,3200.0,36.82504619827667
26.0,Beaumont,2,669200.0,669200.0,,79.70822281167109,20.32563591291227,48.16666666666667,25.0,92.9,3475.5,0.0,0.0,5.0,4.5,4363.0,36.54292406729802
27.0,Stamford,1,1154000.0,1154000.0,,0.0,24.417978012502694,54.666666666666664,25.0,69.665,438.0,0.0,0.0,3.0,3.0,4235.0,36.46936072431423
28.0,Utica,1,170900.0,170900.0,,583.6,20.106704031041172,74.0,25.0,54.709999999999994,3638.0,0.0,0.0,7.0,2.0,2610.0,36.461599078873874
29.0,Gastonia,1,239990.0,239990.0,,0.0,24.87200905367536,56.666666666666664,25.0,62.41,101.0,0.0,0.0,3.0,2.0,1200.0,35.76047222082707
30.0,Palmetto,1,1070000.0,1070000.0,,-1.3740348251048247,24.93802543651649,42.333333333333336,25.0,81.16,52.0,0.0,0.0,4.0,4.0,2382.0,35.64873321968241
31.0,Marietta,1,750000.0,750000.0,,0.0,24.21049795214486,38.333333333333336,25.0,88.765,592.0,0.0,0.0,5.0,4.0,4453.0,35.54634706245805
32.0,Tigard,1,736200.0,736200.0,,30.323951141795007,21.583315369691743,50.0,25.0,82.15,2542.0,0.0,0.0,4.0,3.0,2832.0,35.54442482024169
33.0,Caryville,1,469400.0,469400.0,,444.231884057971,20.804591506790256,50.0,25.0,81.95,3120.0,0.0,0.0,5.0,3.0,3192.0,35.53735564888251
34.0,Woodbury,1,518380.0,518380.0,,0.0,24.264388876913127,39.333333333333336,25.0,87.01500000000001,552.0,0.0,0.0,5.0,3.0,2505.0,35.4975497734997
35.0,Madison,4,397475.0,383000.0,,33.30446080554353,22.250552381978874,55.91666666666667,25.0,71.215,2046.75,0.0,0.0,4.0,2.75,2627.5,35.423871799673876
36.0,Arnold,1,172200.0,172200.0,,14.799999999999999,23.291657684845873,62.0,25.0,59.16,1274.0,0.0,0.0,2.0,2.0,1500.0,35.37487537650532
37.0,Fontana,1,815100.0,815100.0,,57.507246376811594,20.727796938995475,49.333333333333336,25.0,84.895,3177.0,0.0,0.0,4.0,3.5,3429.0,35.29253145189772
38.0,Hamburg,1,603933.0,603933.0,,0.0,24.18489976287993,49.333333333333336,25.0,71.68,611.0,0.0,0.0,5.0,4.0,4336.0,34.99624494467658
39.0,Wyomissing,1,437500.0,437500.0,,0.0,24.858536322483292,47.333333333333336,25.0,71.52000000000001,111.0,0.0,0.0,3.0,3.0,2906.0,34.88577537159034
40.0,Louisville,1,503000.0,503000.0,,20.479041916167663,23.360368613925417,42.0,25.0,83.7,1223.0,0.0,0.0,4.0,4.0,3840.0,34.81687598315631
41.0,Baltimore,3,225577.66666666666,258000.0,,36.418225674161874,20.9667133721348,74.83333333333333,25.0,47.65,2999.6666666666665,0.0,0.0,3.3333333333333335,2.3333333333333335,1926.0,34.81559673606075
42.0,Knoxville,1,246000.0,246000.0,,0.0,24.928594524682044,55.0,25.0,60.29,59.0,0.0,0.0,4.0,2.0,1176.0,34.74406661342725
43.0,Wynnewood,1,1227500.0,1227500.0,,129.4392523364486,19.52333477042466,61.666666666666664,25.0,68.75,4071.0,0.0,0.0,4.0,3.5,3300.0,34.50685393953423
44.0,Yorba Linda,1,1150000.0,1150000.0,,0.0,23.753772364733777,50.0,25.0,69.77,931.0,0.0,0.0,4.0,3.0,1906.0,34.37486772666311
45.0,Manteca,1,774200.0,774200.0,,25.376518218623485,22.250215563699072,44.666666666666664,25.0,82.02,2047.0,0.0,0.0,4.0,4.0,2704.0,34.326835307182975
