zpid,latitude,longitude,city,zipcode,county,price,zestimate,rentZestimate,lastSoldPrice,priceHistory,bedrooms,bathrooms,livingArea,sqft,lotSize,yearBuilt,homeType,daysOnZillow,tourViewCount,num_of_contacts,num_of_applications,sold_to_list_ratio,getting_around_scores,climate_risks,homeStatus,listingTypeDimension,isOffMarket,dateSold,availability_date
350749973,30.558127,-97.655009,Round Rock,78665,Williamson County,2068,,,,,2.0,2.0,,981.0,,,FOR_RENT,,,,,,,,,,False,,2024-11-07 12:32:56.719000+00:00
3931864,41.791588,-87.69165,Chicago,60629,Cook County,211800,211800.0,1799.0,,,3.0,1.0,1229.0,,3750.0,1941.0,SINGLE_FAMILY,,0.0,,,,"{""bike_score"":""70/100 | Very Bikeable"",""transit_score"":""62/100 | Good Transit"",""walk_score"":""77/100 | Very Walkable""}","{""air_factor"":null,""fire_factor"":null,""flood_factor"":null,""heat_factor"":null,""wind_factor"":null}",OTHER,Unknown Listed By,False,,
20372164,33.859783,-118.33917,Torrance,90504,Los Angeles County,1240600,1240600.0,4811.0,620000.0,"[{""attributeSource"":{""infoString2"":""Public Record""},""date"":""2010-11-23"",""event"":""Sold"",""postingIsRental"":false,""price"":620000,""priceChangeRate"":1.897196261682243,""pricePerSquareFoot"":291,""showCountyLink"":false,""source"":""Public Record"",""source_listing_id"":null,""source_name"":""Public Record"",""time"":1290470400000},{""attributeSource"":{""infoString2"":""Public Record""},""date"":""1994-07-22"",""event"":""Sold"",""postingIsRental"":false,""price"":214000,""priceChangeRate"":0.7236935369547007,""pricePerSquareFoot"":101,""showCountyLink"":false,""source"":""Public Record"",""source_listing_id"":null,""source_name"":""Public Record"",""time"":774835200000},{""attributeSource"":{""infoString2"":""Public Record""},""date"":""1994-03-28"",""event"":""Sold"",""postingIsRental"":false,""price"":124152,""priceChangeRate"":0,""pricePerSquareFoot"":58,""showCountyLink"":false,""source"":""Public Record"",""source_listing_id"":null,""source_name"":""Public Record"",""time"":764812800000}]",4.0,3.0,2128.0,,8443.0,1955.0,SINGLE_FAMILY,5562.0,0.0,,,0.4997581815250685,"{""bike_score"":""42/100 | Somewhat Bikeable"",""transit_score"":""34/100 | Some Transit"",""walk_score"":""56/100 | Somewhat Walkable""}","{""air_factor"":null,""fire_factor"":null,""flood_factor"":null,""heat_factor"":null,""wind_factor"":null}",OTHER,Unknown Listed By,False,2010-11-23 00:00:00+00:00,
2070621351,32.840466,-117.27096,La Jolla,92037,San Diego County,0,,2177.0,,"[{""attributeSource"":{""infoString2"":""Zillow Rental Manager""},""date"":""2021-05-24"",""event"":""Listing removed"",""postingIsRental"":true,""priceChangeRate"":0,""showCountyLink"":false,""source"":""Zillow Rental Manager"",""source_listing_id"":null,""source_name"":""Zillow Rental Manager"",""time"":1621814400000},{""attributeSource"":{""infoString2"":""Zillow Rental Manager""},""date"":""2021-05-21"",""event"":""Listed for rent"",""postingIsRental"":true,""price"":1595,""priceChangeRate"":0,""pricePerSquareFoot"":5,""showCountyLink"":false,""source"":""Zillow Rental Manager"",""source_listing_id"":null,""source_name"":""Zillow Rental Manager"",""time"":1621555200000}]",1.0,1.0,330.0,,,,APARTMENT,,0.0,,,,"{""bike_score"":""52/100 | Bikeable"",""transit_score"":null,""walk_score"":""97/100 | Walker's Paradise""}","{""air_factor"":null,""fire_factor"":null,""flood_factor"":null,""heat_factor"":null,""wind_factor"":null}",OTHER,Unknown Listed By,False,,
318514137,36.180298,-87.1617,White Bluff,37187,Dickson County,294900,294900.0,1664.0,,,,,1342.0,,57063.0,1976.0,SINGLE_FAMILY,,0.0,,,,"{""bike_score"":""18/100 | Somewhat Bikeable"",""transit_score"":null,""walk_score"":""0/100 | Car-Dependent""}","{""air_factor"":null,""fire_factor"":null,""flood_factor"":null,""heat_factor"":null,""wind_factor"":null}",OTHER,Unknown Listed By,False,,
30701936,40.616146,-74.036476,Brooklyn,11209,Kings County,1117800,1117800.0,3154.0,,,2.0,1.5,2000.0,,2000.0,1950.0,SINGLE_FAMILY,,0.0,,,,"{""bike_score"":""78/100 | Very Bikeable"",""transit_score"":null,""walk_score"":""89/100 | Very Walkable""}","{""air_factor"":null,""fire_factor"":null,""flood_factor"":null,""heat_factor"":null,""wind_factor"":null}",OTHER,Unknown Listed By,False,,
633201,21.360329,-157.73454,Kailua,96734,Honolulu County,1915100,1915100.0,5924.0,512100.0,"[{""attributeSource"":{""infoString2"":""Public Record""},""date"":""2001-07-27"",""event"":""Sold"",""postingIsRental"":false,""price"":512100,""priceChangeRate"":0,""pricePerSquareFoot"":167,""showCountyLink"":false,""source"":""Public Record"",""source_listing_id"":null,""source_name"":""Public Record"",""time"":996192000000}]",3.0,2.5,3072.0,,11316.0,2002.0,SINGLE_FAMILY,8984.0,0.0,,,0.2674011800950342,"{""bike_score"":null,""transit_score"":""31/100 | Some Transit"",""walk_score"":null}","{""air_factor"":null,""fire_factor"":null,""flood_factor"":null,""heat_factor"":null,""wind_factor"":null}",OTHER,Unknown Listed By,False,2001-07-27 00:00:00+00:00,
7721706,33.511272,-112.14727,Phoenix,85019,Maricopa County,183500,183500.0,1424.0,82400.0,"[{""attributeSource"":{""infoString2"":""ARMLS"",""infoString3"":""https://photos.zillowstatic.com/fp/a3a022d32b0617399617ec42566a2693-zillow_web_logo_inf_11.jpg""},""date"":""2017-11-15"",""event"":""Sold"",""postingIsRental"":false,""price"":82400,""priceChangeRate"":0.03128911138923655,""pricePerSquareFoot"":82,""showCountyLink"":false,""source"":""ARMLS"",""source_listing_id"":""5668321"",""source_name"":""ARMLS"",""time"":1510704000000},{""attributeSource"":{""infoString2"":""Realty ONE Group""},""date"":""2017-10-03"",""event"":""Listed for sale"",""postingIsRental"":false,""price"":79900,""priceChangeRate"":0.858139534883721,""pricePerSquareFoot"":80,""showCountyLink"":false,""source"":""Realty ONE Group"",""source_listing_id"":""5668321"",""source_name"":""Realty ONE Group"",""time"":1506988800000},{""attributeSource"":{""infoString2"":""Zillow Rental Network""},""date"":""2014-06-25"",""event"":""Listing removed"",""postingIsRental"":true,""price"":700,""priceChangeRate"":0,""pricePerSquareFoot"":1,""showCountyLink"":false,""source"":""Zillow Rental Network"",""source_listing_id"":null,""source_name"":""Zillow Rental Network"",""time"":1403654400000},{""attributeSource"":{""infoString2"":""Zillow Rental Network""},""date"":""2014-06-24"",""event"":""Listed for rent"",""postingIsRental"":true,""price"":700,""priceChangeRate"":0,""pricePerSquareFoot"":1,""showCountyLink"":false,""source"":""Zillow Rental Network"",""source_listing_id"":null,""source_name"":""Zillow Rental Network"",""time"":1403568000000},{""attributeSource"":{""infoString2"":""ARMLS"",""infoString3"":""https://photos.zillowstatic.com/fp/a3a022d32b0617399617ec42566a2693-zillow_web_logo_inf_11.jpg""},""date"":""2014-06-13"",""event"":""Sold"",""postingIsRental"":false,""price"":43000,""priceChangeRate"":-0.13131313131313133,""pricePerSquareFoot"":43,""showCountyLink"":false,""source"":""ARMLS"",""source_listing_id"":""5087388"",""source_name"":""ARMLS"",""time"":1402617600000},{""attributeSource"":{""infoString2"":""Greg Patt Real Estate""},""date"":""2014-04-23"",""event"":""Price change"",""postingIsRental"":false,""price"":49500,""priceChangeRate"":-0.01,""pricePerSquareFoot"":49,""showCountyLink"":false,""source"":""Greg Patt Real Estate"",""source_listing_id"":""5087388"",""source_name"":""Greg Patt Real Estate"",""time"":1398211200000},{""attributeSource"":{""infoString2"":""Zillow Rental Network""},""date"":""2014-04-08"",""event"":""Listing removed"",""postingIsRental"":true,""price"":700,""priceChangeRate"":0,""pricePerSquareFoot"":1,""showCountyLink"":false,""source"":""Zillow Rental Network"",""source_listing_id"":null,""source_name"":""Zillow Rental Network"",""time"":1396915200000},{""attributeSource"":{""infoString2"":""Greg Patt Real Estate""},""date"":""2014-03-21"",""event"":""Listed for sale"",""postingIsRental"":false,""price"":50000,""priceChangeRate"":2.225806451612903,""pricePerSquareFoot"":50,""showCountyLink"":false,""source"":""Greg Patt Real Estate"",""source_listing_id"":""5087388"",""source_name"":""Greg Patt Real Estate"",""time"":1395360000000},{""attributeSource"":{""infoString2"":""Zillow Rental Network""},""date"":""2014-02-25"",""event"":""Listed for rent"",""postingIsRental"":true,""price"":700,""priceChangeRate"":0.16666666666666666,""pricePerSquareFoot"":1,""showCountyLink"":false,""source"":""Zillow Rental Network"",""source_listing_id"":null,""source_name"":""Zillow Rental Network"",""time"":1393286400000},{""attributeSource"":{""infoString2"":""vFlyer Rentals""},""date"":""2011-05-12"",""event"":""Listing removed"",""postingIsRental"":true,""price"":600,""priceChangeRate"":0,""pricePerSquareFoot"":1,""showCountyLink"":false,""source"":""vFlyer Rentals"",""source_listing_id"":null,""source_name"":""vFlyer Rentals"",""time"":1305158400000},{""attributeSource"":{""infoString2"":""vFlyer Rentals""},""date"":""2011-04-22"",""event"":""Listed for rent"",""postingIsRental"":true,""price"":600,""priceChangeRate"":0,""pricePerSquareFoot"":1,""showCountyLink"":false,""source"":""vFlyer Rentals"",""source_listing_id"":null,""source_name"":""vFlyer Rentals"",""time"":1303430400000},{""attributeSource"":{""infoString2"":""Public Record""},""date"":""2011-04-04"",""event"":""Sold"",""postingIsRental"":false,""price"":15500,""priceChangeRate"":-0.8306344107170174,""pricePerSquareFoot"":15,""showCountyLink"":false,""source"":""Public Record"",""source_listing_id"":null,""source_name"":""Public Record"",""time"":1301875200000},{""attributeSource"":{""infoString2"":""Public Record""},""date"":""2010-12-22"",""event"":""Sold"",""postingIsRental"":false,""price"":91518,""priceChangeRate"":0.07668235294117647,""pricePerSquareFoot"":91,""showCountyLink"":false,""source"":""Public Record"",""source_listing_id"":null,""source_name"":""Public Record"",""time"":1292976000000},{""attributeSource"":{""infoString2"":""Public Record""},""date"":""2005-11-29"",""event"":""Sold"",""postingIsRental"":false,""price"":85000,""priceChangeRate"":1.4285714285714286,""pricePerSquareFoot"":85,""showCountyLink"":false,""source"":""Public Record"",""source_listing_id"":null,""source_name"":""Public Record"",""time"":1133222400000},{""attributeSource"":{""infoString2"":""Public Record""},""date"":""2003-03-21"",""event"":""Sold"",""postingIsRental"":false,""price"":35000,""priceChangeRate"":16.5,""pricePerSquareFoot"":35,""showCountyLink"":false,""source"":""Public Record"",""source_listing_id"":null,""source_name"":""Public Record"",""time"":1048204800000},{""attributeSource"":{""infoString2"":""Public Record""},""date"":""1994-03-15"",""event"":""Sold"",""postingIsRental"":false,""price"":2000,""priceChangeRate"":0,""pricePerSquareFoot"":2,""showCountyLink"":false,""source"":""Public Record"",""source_listing_id"":null,""source_name"":""Public Record"",""time"":763689600000}]",3.0,1.0,1005.0,,1790.0,1972.0,TOWNHOUSE,3014.0,0.0,,,0.4490463215258856,"{""bike_score"":""51/100 | Bikeable"",""transit_score"":""40/100 | Some Transit"",""walk_score"":""43/100 | Car-Dependent""}","{""air_factor"":null,""fire_factor"":null,""flood_factor"":null,""heat_factor"":null,""wind_factor"":null}",OTHER,Unknown Listed By,False,2017-11-15 00:00:00+00:00,
2055211653,46.509155,-87.6661,Ishpeming,49849,Marquette County,157900,183500.0,1482.0,157900.0,"[{""attributeSource"":{""infoString2"":""Upper Peninsula AOR"",""infoString3"":""https://photos.zillowstatic.com/fp/033c58ec29eea1d212a06f16bcbeeef8-zillow_web_logo_inf_11.jpg""},""date"":""2023-10-30"",""event"":""Sold"",""postingIsRental"":false,""price"":157900,""priceChangeRate"":0,""pricePerSquareFoot"":148,""showCountyLink"":false,""source"":""Upper Peninsula AOR"",""source_listing_id"":""50123669"",""source_name"":""Upper Peninsula AOR"",""time"":1698624000000},{""attributeSource"":{""infoString2"":""Upper Peninsula AOR"",""infoString3"":""https://photos.zillowstatic.com/fp/033c58ec29eea1d212a06f16bcbeeef8-zillow_web_logo_inf_11.jpg""},""date"":""2023-10-13"",""event"":""Pending sale"",""postingIsRental"":false,""price"":157900,""priceChangeRate"":0,""pricePerSquareFoot"":148,""showCountyLink"":false,""source"":""Upper Peninsula AOR"",""source_listing_id"":""50123669"",""source_name"":""Upper Peninsula AOR"",""time"":1697155200000},{""attributeSource"":{""infoString2"":""Upper Peninsula AOR"",""infoString3"":""https://photos.zillowstatic.com/fp/033c58ec29eea1d212a06f16bcbeeef8-zillow_web_logo_inf_11.jpg""},""date"":""2023-10-01"",""event"":""Listed for sale"",""postingIsRental"":false,""price"":157900,""priceChangeRate"":0,""pricePerSquareFoot"":148,""showCountyLink"":false,""source"":""Upper Peninsula AOR"",""source_listing_id"":""50123669"",""source_name"":""Upper Peninsula AOR"",""time"":1696118400000}]",3.0,1.0,1064.0,,7405.0,1952.0,SINGLE_FAMILY,854.0,0.0,,,1.0,"{""bike_score"":""40/100 | Somewhat Bikeable"",""transit_score"":null,""walk_score"":""39/100 | Car-Dependent""}","{""air_factor"":null,""fire_factor"":null,""flood_factor"":null,""heat_factor"":null,""wind_factor"":null}",SOLD,Unknown Listed By,False,2023-10-30 00:00:00+00:00,
61718482,41.284527,-73.90678,Peekskill,10566,Westchester County,851300,851300.0,6315.0,584900.0,"[{""attributeSource"":{""infoString2"":""OneKey® MLS"",""infoString3"":""https://photos.zillowstatic.com/fp/464ad42e5f4f4a61544ab7d3b6721129-zillow_web_logo_inf_11.jpg""},""date"":""2017-09-18"",""event"":""Sold"",""postingIsRental"":false,""price"":584900,""priceChangeRate"":0,""pricePerSquareFoot"":164,""showCountyLink"":false,""source"":""OneKey® MLS"",""source_listing_id"":""H4719712"",""source_name"":""OneKey® MLS"",""time"":1505692800000},{""attributeSource"":{""infoString2"":""Rand Realty Company""},""date"":""2017-08-14"",""event"":""Pending sale"",""postingIsRental"":false,""price"":584900,""priceChangeRate"":0,""pricePerSquareFoot"":164,""showCountyLink"":false,""source"":""Rand Realty Company"",""source_listing_id"":""4719712"",""source_name"":""Rand Realty Company"",""time"":1502668800000},{""attributeSource"":{""infoString2"":""Rand Realty Company""},""date"":""2017-08-09"",""event"":""Listed for sale"",""postingIsRental"":false,""price"":584900,""priceChangeRate"":0,""pricePerSquareFoot"":164,""showCountyLink"":false,""source"":""Rand Realty Company"",""source_listing_id"":""4719712"",""source_name"":""Rand Realty Company"",""time"":1502236800000},{""attributeSource"":{""infoString2"":""Better Homes and Gardens Rand Realty""},""date"":""2017-06-01"",""event"":""Listing removed"",""postingIsRental"":false,""price"":584900,""priceChangeRate"":0,""pricePerSquareFoot"":164,""showCountyLink"":false,""source"":""Better Homes and Gardens Rand Realty"",""source_listing_id"":""4719712"",""source_name"":""Better Homes and Gardens Rand Realty"",""time"":1496275200000},{""attributeSource"":{""infoString2"":""Better Homes and Gardens Rand Realty""},""date"":""2017-06-01"",""event"":""Pending sale"",""postingIsRental"":false,""price"":584900,""priceChangeRate"":0,""pricePerSquareFoot"":164,""showCountyLink"":false,""source"":""Better Homes and Gardens Rand Realty"",""source_listing_id"":""4719712"",""source_name"":""Better Homes and Gardens Rand Realty"",""time"":1496275200000},{""attributeSource"":{""infoString2"":""BHG Rand Realty""},""date"":""2017-05-05"",""event"":""Listed for sale"",""postingIsRental"":false,""price"":584900,""priceChangeRate"":0.00862217623728229,""pricePerSquareFoot"":164,""showCountyLink"":false,""source"":""BHG Rand Realty"",""source_listing_id"":""4719712"",""source_name"":""BHG Rand Realty"",""time"":1493942400000},{""attributeSource"":{""infoString2"":""Better Homes and Gardens Rand Realty""},""date"":""2009-08-14"",""event"":""Listing removed"",""postingIsRental"":false,""price"":579900,""priceChangeRate"":0,""pricePerSquareFoot"":162,""showCountyLink"":false,""source"":""Better Homes and Gardens Rand Realty"",""source_listing_id"":""2918183"",""source_name"":""Better Homes and Gardens Rand Realty"",""time"":1250208000000},{""attributeSource"":{""infoString2"":""Better Homes and Gardens Rand Realty""},""date"":""2009-06-12"",""event"":""Listed for sale"",""postingIsRental"":false,""price"":579900,""priceChangeRate"":0.22327578023647046,""pricePerSquareFoot"":162,""showCountyLink"":false,""source"":""Better Homes and Gardens Rand Realty"",""source_listing_id"":""2918183"",""source_name"":""Better Homes and Gardens Rand Realty"",""time"":1244764800000},{""attributeSource"":{""infoString2"":""Public Record""},""date"":""2003-02-05"",""event"":""Sold"",""postingIsRental"":false,""price"":474055,""priceChangeRate"":0,""pricePerSquareFoot"":133,""showCountyLink"":false,""source"":""Public Record"",""source_listing_id"":null,""source_name"":""Public Record"",""time"":1044403200000}]",3.0,4.0,3576.0,,,2003.0,CONDO,3069.0,0.0,,,0.6870668389521908,"{""bike_score"":""14/100 | Somewhat Bikeable"",""transit_score"":""25/100 | Some Transit"",""walk_score"":""10/100 | Car-Dependent""}","{""air_factor"":null,""fire_factor"":null,""flood_factor"":null,""heat_factor"":null,""wind_factor"":null}",OTHER,Unknown Listed By,False,2017-09-18 00:00:00+00:00,
